,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
83,Girl,11-15,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
84,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
85,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
86,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,High
87,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Mobile,Moderate
88,Boy,11-15,School,Non Government,No,Yes,High,Mid,Wifi,4G,01-03,No,Mobile,Moderate
89,Boy,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low
90,Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
91,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,03-06,Yes,Computer,Moderate
92,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,03-06,Yes,Computer,Moderate
93,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,01-03,Yes,Mobile,Low
94,Girl,01-05,School,,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
95,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
96,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
97,Girl,11-15,School,Government,No,No,High,Poor,Mobile Data,2G,01-03,No,Mobile,Low
98,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Mobile,Moderate
99,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
100,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
101,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
102,Girl,16-20,College,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
103,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,,Moderate
104,Girl,01-05,School,,No,Yes,Low,Poor,Wifi,4G,01-03,No,Mobile,Moderate
105,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
106,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
107,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
108,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Tab,Moderate
109,Girl,21-25,University,Non Government,No,Yes,Low,Mid,,3G,01-03,Yes,Mobile,High
110,Boy,06-10,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
111,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
112,Boy,11-15,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
113,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,01-03,Yes,Mobile,Moderate
114,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
115,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,Yes,Computer,Moderate
116,Boy,26-30,University,Government,Yes,Yes,Low,Mid,Wifi,4G,0,No,Computer,Low
117,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,4G,03-06,Yes,Computer,Low
118,Boy,16-20,College,Government,No,No,High,Poor,Mobile Data,3G,01-03,No,Mobile,Moderate
119,Girl,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,01-03,Yes,Mobile,Moderate
120,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,03-06,No,Computer,Moderate
121,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,,Mobile,Low
122,Boy,,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
123,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
124,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Computer,Moderate
125,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
126,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Low
127,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Mobile,Moderate
128,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
129,Boy,21-25,University,Non Government,,Yes,Low,Rich,Wifi,4G,01-03,Yes,Computer,High
130,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,,03-06,Yes,Mobile,Moderate
131,Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,3G,01-03,No,Mobile,Low
132,Boy,21-25,University,Non Government,Yes,No,High,Mid,Mobile Data,3G,03-06,Yes,Mobile,High
133,Boy,16-20,College,Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
134,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,Yes,Mobile,Moderate
135,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Low
136,Girl,,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
137,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
138,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
139,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
140,Girl,11-15,School,,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
141,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,Yes,Mobile,Moderate
142,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
143,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
144,Boy,21-25,University,Government,No,No,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
145,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Moderate
146,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3G,03-06,No,Computer,Moderate
147,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
148,Girl,21-25,University,Non Government,No,Yes,High,Poor,Wifi,4G,03-06,No,Mobile,Low
149,Girl,21-25,University,Government,No,No,Low,Mid,Mobile Data,2G,01-03,No,Mobile,Low
150,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
151,Boy,16-20,College,Government,No,No,Low,Mid,Wifi,4G,,No,Mobile,Low
152,Boy,11-15,School,Non Government,No,Yes,Low,Rich,Mobile Data,4G,01-03,No,Mobile,High
153,Boy,06-10,School,Non Government,No,Yes,Low,Rich,Wifi,4G,01-03,No,Mobile,Moderate
154,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Low
155,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Computer,Low
156,Boy,01-05,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
157,Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,4G,01-03,No,Computer,High
158,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
159,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,01-03,Yes,Computer,Moderate
160,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,01-03,Yes,Mobile,Low
161,Boy,21-25,University,Non Government,Yes,No,High,Mid,Mobile Data,3G,03-06,Yes,Mobile,High
162,Boy,16-20,University,Government,No,No,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
163,Boy,06-10,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
164,Girl,16-20,College,Government,No,No,High,Poor,Mobile Data,4G,0,No,Mobile,Low
165,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
166,Boy,21-25,College,Government,No,No,High,Poor,Mobile Data,3G,01-03,Yes,Mobile,Low
167,Boy,26-30,University,Government,No,No,Low,Mid,Mobile Data,4G,01-03,No,Mobile,High
168,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
169,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,,Yes,Mobile,Low
170,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,01-03,Yes,Computer,Moderate
171,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
172,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,01-03,No,Mobile,Low
